,이름,분류번호,대권역,수계,중권역,수질목표,주소,위도(DMS도),위도(DMS분),위도(DMS초),경도(DMS도),경도(DMS분),경도(DMS초),위도(Degree),경도(Degree),RCH_ID,본/지류,하천/호소,수량,총량,자동,퇴적물,방사성,예보,주요,중권역,보대,조사기관
정동,금본J,3012A53,금강,금강,금강공주,,충청남도 부여군 규암면 호암리 (백마강교),36,18,3.99,126,55,25.09,36.30110833,126.9236361,30121107,본,하천,1,1,,,,1,,,,금강물환경연구소
은산천,,3012A55,금강,금강,금강공주,,충청남도 부여군 규암면 모리 (모리교),36,17,23.62,126,52,32.25,36.28989444,126.875625,30121115,지,하천,1,,,,,,,,,충청남도
부여1,,3012A60,금강,금강,금강공주,,충청남도 부여군 규암면 외리 (백제교),36,16,17.72,126,53,35.16,36.27158889,126.8931,30121405,본,하천,1,,,,1,1,1,,,금강유역환경청
금천,,3012A65,금강,금강,금강공주,,충청남도 부여군 장암면 석동리 (석동교),36,14,29.3,126,53,17.95,36.24147222,126.8883194,30121215,지,하천,1,,,,,1,,,,금강물환경연구소
부여2,,3012A70,금강,금강,금강공주,,충청남도 부여군 장암면,36,14,53.7,126,54,43.03,36.24825,126.9119528,30121406,본,하천,1,,,,,1,,,,금강유역환경청
석성천-1,금본K1,3012A73,금강,금강,금강공주,,충청남도 부여군 초촌면 송정리 (군계교),36,15,29.5,127,4,9.51,36.25819444,127.0693083,30121308,지,하천,,1,,,,,,,,금강물환경연구소
석성천,,3012A75,금강,금강,금강공주,,충청남도 논산시 성동면 원북리 (경교),36,13,57.9,127,2,4.2,36.23275,127.0345,30121312,지,하천,1,,,,,,,,,충청남도
석성천2,,3012A77,금강,금강,금강공주,,충청남도 부여군 석성면 석성리 (동성교),36,12,14,126,59,48,36.20388889,126.9966667,30121319,지,하천,,1,,,,1,,,,금강물환경연구소
성동,,3012A80,금강,금강,금강공주,II,충청남도 논산시 성동면 개척리,36,10,6.06,127,0,24.88,36.16835,127.0069111,30121418,본,하천,1,,,1,,1,,1,,금강유역환경청
논산천-1,논산A1,3013A05,금강,금강,논산천,,충청남도 논산시 양촌면 신기리 (세월교),36,7,0.42,127,15,38.56,36.11678333,127.2607111,30130106,지,하천,,1,,,,,,,,금강물환경연구소
논산천1,,3013A10,금강,금강,논산천,,충청남도 논산시 양촌면 신흥리 (신흥교),36,10,12.35,127,12,13.64,36.17009722,127.2037889,30130205,지,하천,1,,,,,,,,,충청남도
연산천,논산A2,3013A15,금강,금강,논산천,,충청남도 계룡시 두마면 광석리 (화악교),36,14,32.48,127,13,45.57,36.24235556,127.229325,30130318,지,하천,,1,,,,,,,,금강물환경연구소
노성천-1,논산A3,3013A17,금강,금강,논산천,,충청남도 공주시 상월면 신충리 (월오교),36,18,24.51,127,8,28.54,36.30680833,127.1412611,30130307,지,하천,,1,,,,,,,,금강물환경연구소
